# Center.Name = NASEER
# assay.Type = WGS
# AvgSpotLen = 202
# Organism = metagenome
# Instrument = Illumina HiSeq 1500
# SRA.Study = ERP014653
# ventilation_type = mechanical ventilation
# filter_type = electrostatic air treatment
# LibraryLayout = PAIRED
# LibrarySelection = RANDOM PCR
# LibrarySource = METAGENOMIC
Run	Bytes	Collection_Date	thDay
ERR1332582	7414219	2013-05-22	0
ERR1332583	546931612	2013-05-22	0
ERR1332584	690276917	2013-05-22	0
ERR1332585	2186229529	2013-05-29	7
ERR1332586	734640700	2013-05-29	7
ERR1332587	1370297722	2013-06-01	10
ERR1332588	2798128625	2013-06-01	10
ERR1332589	738535458	2013-06-01	10
ERR1332590	4581289278	2013-06-02	11
ERR1332591	3626878893	2013-06-03	12
ERR1332592	7304944	2013-06-03	12
ERR1332593	3655921888	2013-06-03	12
ERR1332594	3246593537	2013-06-03	12
ERR1332595	1834724621	2013-06-04	13
ERR1332596	678924724	2013-06-04	13
ERR1332597	1939993926	2013-06-04	13
ERR1332598	334496962	2013-06-04	13
ERR1332599	2325731688	2013-06-06	15
ERR1332600	3835655979	2013-06-06	15
ERR1332601	548689081	2013-06-06	15
ERR1332602	1488952609	2013-06-06	15
ERR1332603	3551112114	2013-06-07	16
ERR1332604	2518977826	2013-06-07	16
ERR1332605	291782627	2013-06-07	16
ERR1332606	2562511593	2013-06-07	16
ERR1332607	1597544111	2013-08-13	83
ERR1332608	3265544370	2013-08-13	83
ERR1332609	557763917	2013-08-13	83
ERR1332610	275343759	2013-08-16	86
ERR1332611	3543132320	2013-08-16	86
ERR1332612	64107515	2013-08-16	86
ERR1332613	844109370	2013-08-16	86
ERR1332614	184239595	2013-08-19	89
ERR1332615	3998144141	2013-08-19	89
ERR1332616	5812178	2013-08-19	89
ERR1332617	1943439547	2013-08-19	89
ERR1332618	1543521873	2013-09-25	126
ERR1332619	7735508	2013-09-25	126
ERR1332620	1251322	2013-09-25	126
ERR1332621	958448288	2013-09-25	126
ERR1332622	2043326614	2013-09-25	126
ERR1332623	3375733193	2013-09-25	126
ERR1332624	102862649	2013-09-25	126
ERR1332625	953308069	2013-09-25	126
ERR1332626	78469	2013-10-16	147
ERR1332627	3471523457	2013-10-16	147
ERR1332628	15695411	2013-10-16	147
ERR1332629	21627545	2013-10-16	147
ERR1332630	36488081	2013-10-16	147
ERR1332631	2545839697	2013-10-16	147
ERR1332632	291210459	2013-10-16	147
ERR1332633	378715241	2013-10-16	147
ERR1332634	114262683	2013-10-16	147
ERR1332635	5581521	2013-10-16	147
ERR1332636	1024645530	2013-10-16	147
