SAMPLE_TYPE	NA	R10014	R10015	R10016	R10017	R10018	R9014	R9015	R9016	R9017	R9018	S09	S10	Staff 09-A	Staff 09-B	Staff 09-C	Staff 09-D	Staff 10-A	Staff 10-B	Staff 10-C	Staff 10-D
blank control	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Axilla	NA	7	5	38	1	3	7	6	40	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bedrail	NA	9	11	115	8	8	9	11	89	10	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cold Tap Faucet Handle	NA	9	11	103	8	11	10	8	88	6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cold Tap Water	NA	4	5	45	5	5	5	7	52	6	6	10	12	NA	NA	NA	NA	NA	NA	NA	NA
Floor	NA	13	16	164	14	15	14	17	155	13	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glove from Glove Box	NA	8	11	111	10	11	9	9	85	9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hand	NA	9	7	58	3	4	9	8	48	4	6	NA	NA	22	19	17	17	22	17	20	14
Inguinal Fold	NA	2	2	15	2	2	2	NA	7	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nose	NA	8	7	52	3	5	8	7	49	4	7	NA	NA	21	18	19	15	22	16	19	14
Chair Armrest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	23	NA	NA	NA	NA	NA	NA	NA	NA
Cold Tap Water Faucet Handle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	9	NA	NA	NA	NA	NA	NA	NA	NA
Computer Mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	NA	NA	NA	NA	NA	NA	NA	NA
Corridor Floor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	22	NA	NA	NA	NA	NA	NA	NA	NA
Countertop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	22	NA	NA	NA	NA	NA	NA	NA	NA
Hot Tap Water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	11	NA	NA	NA	NA	NA	NA	NA	NA
Hot Tap Water Faucet Handle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA	NA
Station Phone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	20	NA	NA	NA	NA	NA	NA	NA	NA
Hospital Pager	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	18	17	16	20	16	19	12
Personal Cell Phone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	18	16	14	21	15	17	15
Shirt Hem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	19	18	17	22	17	19	15
Shoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	16	14	11	18	13	16	15
