ID	Sample.Name	Sample_name	host_subject_id	Date	study_day	SAMPLE_TYPE	Location	run_prefix..exp.	env_material	surcat	Bases
ERR1459321	SAMEA4037066	qiita_sid_10172:10172.1109	R9016.Nose.4	2/28/13	4	Nose	R9016	MiSeq1	sebum	Patient_Skin	349414
ERR1459322	SAMEA4037067	qiita_sid_10172:10172.1110	R9016.Inguinal Fold.4	2/28/13	4	Inguinal Fold	R9016	MiSeq1	sebum	Patient_Skin	1359
ERR1459323	SAMEA4037068	qiita_sid_10172:10172.1111	R9016.Bedrail.4	2/28/13	4	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	1121930
ERR1459324	SAMEA4037069	qiita_sid_10172:10172.1113	R9016.Floor.4	2/28/13	4	Floor	R9016	MiSeq1	surface layer	Room_Surface	782784
ERR1459325	SAMEA4037070	qiita_sid_10172:10172.1118	R10016.Bedrail.4	2/28/13	4	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	755
ERR1459326	SAMEA4037071	qiita_sid_10172:10172.1120	R10016.Floor.4	2/28/13	4	Floor	R10016	MiSeq1	surface layer	Room_Surface	4303198
ERR1459327	SAMEA4037072	qiita_sid_10172:10172.1122	NA.BLANK.4	2/28/13	4	blank control		MiSeq1	sterile water		5576128
ERR1459328	SAMEA4037073	qiita_sid_10172:10172.1148	R10016.Bedrail.6	3/2/13	6	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	6125919
ERR1459329	SAMEA4037074	qiita_sid_10172:10172.1150	R10016.Floor.6	3/2/13	6	Floor	R10016	MiSeq1	surface layer	Room_Surface	2830948
ERR1459330	SAMEA4037075	qiita_sid_10172:10172.1151	R10016.Cold Tap Faucet Handle.6	3/2/13	6	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	2893462
ERR1459331	SAMEA4037076	qiita_sid_10172:10172.1163	R10016.Bedrail.7	3/3/13	7	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	5253290
ERR1459332	SAMEA4037077	qiita_sid_10172:10172.1164	R10016.Glove from Glove Box.7	3/3/13	7	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1150771
ERR1459333	SAMEA4037078	qiita_sid_10172:10172.1165	R10016.Floor.7	3/3/13	7	Floor	R10016	MiSeq1	surface layer	Room_Surface	2522908
ERR1459334	SAMEA4037079	qiita_sid_10172:10172.1166	R10016.Cold Tap Faucet Handle.7	3/3/13	7	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	2639782
ERR1459335	SAMEA4037080	qiita_sid_10172:10172.1175	R10016.Hand.8	3/4/13	8	Hand	R10016	MiSeq1	sebum	Patient_Skin	3622188
ERR1459336	SAMEA4037081	qiita_sid_10172:10172.1176	R10016.Nose.8	3/4/13	8	Nose	R10016	MiSeq1	sebum	Patient_Skin	3446122
ERR1459337	SAMEA4037082	qiita_sid_10172:10172.1177	R10016.Inguinal Fold.8	3/4/13	8	Inguinal Fold	R10016	MiSeq1	sebum	Patient_Skin	8881669
ERR1459338	SAMEA4037083	qiita_sid_10172:10172.1178	R10016.Bedrail.8	3/4/13	8	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	5421202
ERR1459339	SAMEA4037084	qiita_sid_10172:10172.1180	R10016.Floor.8	3/4/13	8	Floor	R10016	MiSeq1	surface layer	Room_Surface	3400067
ERR1459340	SAMEA4037085	qiita_sid_10172:10172.1181	R10016.Cold Tap Faucet Handle.8	3/4/13	8	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	4019318
ERR1459341	SAMEA4037086	qiita_sid_10172:10172.1190	R10016.Hand.9	3/5/13	9	Hand	R10016	MiSeq1	sebum	Patient_Skin	2948879
ERR1459342	SAMEA4037087	qiita_sid_10172:10172.1191	R10016.Nose.9	3/5/13	9	Nose	R10016	MiSeq1	sebum	Patient_Skin	4146611
ERR1459343	SAMEA4037088	qiita_sid_10172:10172.1192	R10016.Inguinal Fold.9	3/5/13	9	Inguinal Fold	R10016	MiSeq1	sebum	Patient_Skin	2784893
ERR1459344	SAMEA4037089	qiita_sid_10172:10172.1193	R10016.Bedrail.9	3/5/13	9	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	2533478
ERR1459345	SAMEA4037090	qiita_sid_10172:10172.1194	R10016.Glove from Glove Box.9	3/5/13	9	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1220231
ERR1459346	SAMEA4037091	qiita_sid_10172:10172.1196	R10016.Cold Tap Faucet Handle.9	3/5/13	9	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	5219164
