SAMPLE_TYPE	NA	R10014	R10015	R10016	R10017	R10018	R9014	R9015	R9016	R9017	R9018	Staff 09-A	Staff 09-B	Staff 09-C	Staff 09-D	Staff 10-A	Staff 10-B	Staff 10-C	Staff 10-D	S09	S10
() blank control	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Glove) Glove from Glove Box	NA	8	11	111	10	11	9	9	85	9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Patient_Skin) Axilla	NA	7	5	38	1	3	7	6	40	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Patient_Skin) Hand	NA	9	7	58	3	4	9	8	48	4	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Patient_Skin) Inguinal Fold	NA	2	2	15	2	2	2	NA	7	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Patient_Skin) Nose	NA	8	7	52	3	5	8	7	49	4	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Room_Surface) Bedrail	NA	9	11	115	8	8	9	11	89	10	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Room_Surface) Cold Tap Faucet Handle	NA	9	11	103	8	11	10	8	88	6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Room_Surface) Floor	NA	13	16	164	14	15	14	17	155	13	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(Staff_Skin) Hand	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	19	17	17	22	17	20	14	NA	NA
(Staff_Skin) Nose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	18	19	15	22	16	19	14	NA	NA
(Staff_Surface) Hospital Pager	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	18	17	16	20	16	19	12	NA	NA
(Staff_Surface) Personal Cell Phone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	18	16	14	21	15	17	15	NA	NA
(Staff_Surface) Shirt Hem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	19	18	17	22	17	19	15	NA	NA
(Staff_Surface) Shoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	16	14	11	18	13	16	15	NA	NA
(Station_Surface) Chair Armrest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	23
(Station_Surface) Cold Tap Water Faucet Handle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	9
(Station_Surface) Computer Mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20
(Station_Surface) Corridor Floor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	22
(Station_Surface) Countertop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	22
(Station_Surface) Hot Tap Water Faucet Handle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10
(Station_Surface) Station Phone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	20
(Water) Cold Tap Water	NA	4	5	45	5	5	5	7	52	6	6	NA	NA	NA	NA	NA	NA	NA	NA	10	12
(Water) Hot Tap Water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	11
