DADA2BatchID	hours	cores	mem	nSamplesDD	totalBasesDD
Axilla	2	1	32GB	114	838874074
Bedrail	2	1	32GB	278	2219775277
blank control	2	1	32GB	103	583417700
Chair Armrest	2	1	32GB	43	391584101
Cold Tap Faucet Handle	2	1	32GB	262	1927965879
Cold Tap Water	2	1	32GB	162	597820735
Cold Tap Water Faucet Handle	2	1	32GB	19	272305994
Computer Mouse	2	1	32GB	42	459228230
Corridor Floor	2	1	32GB	41	394896619
Countertop	2	1	32GB	43	420764361
Floor	2	1	32GB	435	2909061391
Glove from Glove Box	2	1	32GB	270	1786357951
Hand	2	1	32GB	304	2576728968
Hospital Pager	2	1	32GB	139	1508842858
Hot Tap Water	2	1	32GB	22	161230517
Hot Tap Water Faucet Handle	2	1	32GB	20	198707440
Inguinal Fold	2	1	32GB	36	114152630
Nose	2	1	32GB	294	2613008664
Personal Cell Phone	2	1	32GB	137	1433433205
Shirt Hem	2	1	32GB	150	1511741899
Shoe	2	1	32GB	122	1224769175
Station Phone	2	1	32GB	43	392565834
